id,phase,group,height_percent,seed,nx,ny,ppc,dt_s,ranks,memory_gib,walltime,index,warmup_steps,sampling_steps,block_steps,sample_every,initial_simulated_particles_estimate,ideal_scaling_wall_hours_estimate
grid_coarse_s20260905,validation,coarse,50,20260905,1000,200,20,1.0254861656216754e-11,16,48,1-00:00:00,0,280000,420000,35000,35,5100000,12.096661111111112
grid_coarse_s20260917,validation,coarse,50,20260917,1000,200,20,1.0254861656216754e-11,16,48,1-00:00:00,1,280000,420000,35000,35,5100000,12.096661111111112
grid_coarse_s20260929,validation,coarse,50,20260929,1000,200,20,1.0254861656216754e-11,16,48,1-00:00:00,2,280000,420000,35000,35,5100000,12.096661111111112
grid_medium_s20260905,validation,medium,50,20260905,2000,400,20,1.0254861656216754e-11,32,96,3-00:00:00,3,280000,420000,35000,35,20400000,24.193322222222225
grid_medium_s20260917,validation,medium,50,20260917,2000,400,20,1.0254861656216754e-11,32,96,3-00:00:00,4,280000,420000,35000,35,20400000,24.193322222222225
grid_medium_s20260929,validation,medium,50,20260929,2000,400,20,1.0254861656216754e-11,32,96,3-00:00:00,5,280000,420000,35000,35,20400000,24.193322222222225
grid_fine_s20260905,validation,fine,50,20260905,3500,700,20,1.0254861656216754e-11,64,192,7-00:00:00,6,280000,420000,35000,35,62475000,37.046024652777774
grid_fine_s20260917,validation,fine,50,20260917,3500,700,20,1.0254861656216754e-11,64,192,7-00:00:00,7,280000,420000,35000,35,62475000,37.046024652777774
grid_fine_s20260929,validation,fine,50,20260929,3500,700,20,1.0254861656216754e-11,64,192,7-00:00:00,8,280000,420000,35000,35,62475000,37.046024652777774
fine_halfdt_s20260905,validation,fine,50,20260905,3500,700,20,5.127430828108377e-12,64,192,7-00:00:00,9,560000,840000,70000,70,62475000,74.09204930555555
fine_ppc40_s20260905,validation,fine,50,20260905,3500,700,40,1.0254861656216754e-11,64,192,7-00:00:00,10,280000,420000,35000,35,124950000,74.09204930555555
geometry_h16_s20260905,geometry,geometry,16,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,11,280000,420000,35000,35,69972000,41.49154761111111
geometry_h16_s20260917,geometry,geometry,16,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,12,280000,420000,35000,35,69972000,41.49154761111111
geometry_h21_s20260905,geometry,geometry,21,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,13,280000,420000,35000,35,68869500,40.837794234885614
geometry_h21_s20260917,geometry,geometry,21,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,14,280000,420000,35000,35,68869500,40.837794234885614
geometry_h25_s20260905,geometry,geometry,25,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,15,280000,420000,35000,35,67987500,40.31479153390523
geometry_h25_s20260917,geometry,geometry,25,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,16,280000,420000,35000,35,67987500,40.31479153390523
geometry_h30_s20260905,geometry,geometry,30,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,17,280000,420000,35000,35,66885000,39.66103815767975
geometry_h30_s20260917,geometry,geometry,30,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,18,280000,420000,35000,35,66885000,39.66103815767975
geometry_h33_s20260905,geometry,geometry,33,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,19,280000,420000,35000,35,66223500,39.268786131944445
geometry_h33_s20260917,geometry,geometry,33,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,20,280000,420000,35000,35,66223500,39.268786131944445
geometry_h36_s20260905,geometry,geometry,36,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,21,280000,420000,35000,35,65562000,38.876534106209164
geometry_h36_s20260917,geometry,geometry,36,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,22,280000,420000,35000,35,65562000,38.876534106209164
geometry_h40_s20260905,geometry,geometry,40,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,23,280000,420000,35000,35,64680000,38.353531405228765
geometry_h40_s20260917,geometry,geometry,40,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,24,280000,420000,35000,35,64680000,38.353531405228765
geometry_h44_s20260905,geometry,geometry,44,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,25,280000,420000,35000,35,63798000,37.830528704248366
geometry_h44_s20260917,geometry,geometry,44,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,26,280000,420000,35000,35,63798000,37.830528704248366
geometry_h58_s20260905,geometry,geometry,58,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,27,280000,420000,35000,35,60711000,36.000019250817
geometry_h58_s20260917,geometry,geometry,58,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,28,280000,420000,35000,35,60711000,36.000019250817
geometry_h60_s20260905,geometry,geometry,60,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,29,280000,420000,35000,35,60270000,35.73851790032681
geometry_h60_s20260917,geometry,geometry,60,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,30,280000,420000,35000,35,60270000,35.73851790032681
geometry_h64_s20260905,geometry,geometry,64,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,31,280000,420000,35000,35,59388000,35.21551519934641
geometry_h64_s20260917,geometry,geometry,64,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,32,280000,420000,35000,35,59388000,35.21551519934641
geometry_h67_s20260905,geometry,geometry,67,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,33,280000,420000,35000,35,58726500,34.82326317361112
geometry_h67_s20260917,geometry,geometry,67,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,34,280000,420000,35000,35,58726500,34.82326317361112
geometry_h70_s20260905,geometry,geometry,70,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,35,280000,420000,35000,35,58065000,34.43101114787582
geometry_h70_s20260917,geometry,geometry,70,20260917,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,36,280000,420000,35000,35,58065000,34.43101114787582
geometry_h75_s20260905,geometry,geometry,75,20260905,3500,700,20,1.0254861656216754e-11,64,128,7-00:00:00,37,280000,420000,35000,35,56962500,33.777257771650326
