tU_D,vorticity_relative_l2
6.458333587646484375e+01,1.865856721997261047e-02
6.510416412353515625e+01,1.837098598480224609e-02
6.562500000000000000e+01,1.784876361489295959e-02
6.614583587646484375e+01,1.883522979915142059e-02
6.666666412353515625e+01,1.854081824421882629e-02
6.718750000000000000e+01,1.885587908327579498e-02
6.770833587646484375e+01,1.802724227309226990e-02
6.822916412353515625e+01,1.773519255220890045e-02
6.875000000000000000e+01,1.819222792983055115e-02
6.927083587646484375e+01,1.832086406648159027e-02
6.979166412353515625e+01,1.896742358803749084e-02
7.031250000000000000e+01,1.913926377892494202e-02
7.083333587646484375e+01,1.883087866008281708e-02
7.135416412353515625e+01,2.098297514021396637e-02
7.187500000000000000e+01,2.086703106760978699e-02
7.239583587646484375e+01,2.131715044379234314e-02
7.291666412353515625e+01,2.110832557082176208e-02
7.343750000000000000e+01,2.142081037163734436e-02
7.395833587646484375e+01,2.272441796958446503e-02
7.447916412353515625e+01,2.273695170879364014e-02
7.500000000000000000e+01,2.341187559068202972e-02
7.552083587646484375e+01,2.419909648597240448e-02
7.604166412353515625e+01,2.424893155694007874e-02
7.656250000000000000e+01,2.653888054192066193e-02
7.708333587646484375e+01,2.690074592828750610e-02
7.760416412353515625e+01,2.732260711491107941e-02
7.812500000000000000e+01,2.754083275794982910e-02
7.864583587646484375e+01,2.783681452274322510e-02
7.916666412353515625e+01,2.987620048224925995e-02
7.968750000000000000e+01,2.993533760309219360e-02
8.020833587646484375e+01,3.049956820905208588e-02
8.072916412353515625e+01,3.165375441312789917e-02
8.125000000000000000e+01,3.192521631717681885e-02
8.177083587646484375e+01,3.362782299518585205e-02
8.229166412353515625e+01,3.497723862528800964e-02
8.281250000000000000e+01,3.536125272512435913e-02
8.333333587646484375e+01,3.567412868142127991e-02
8.385416412353515625e+01,3.596772998571395874e-02
8.437500000000000000e+01,3.819839283823966980e-02
8.489583587646484375e+01,3.859976306557655334e-02
8.541666412353515625e+01,3.900473192334175110e-02
8.593750000000000000e+01,4.029799997806549072e-02
8.645833587646484375e+01,4.074890166521072388e-02
8.697916412353515625e+01,4.172778502106666565e-02
8.750000000000000000e+01,4.404510930180549622e-02
8.802083587646484375e+01,4.432828351855278015e-02
8.854166412353515625e+01,4.473420232534408569e-02
8.906250000000000000e+01,4.512250795960426331e-02
8.958333587646484375e+01,4.689745977520942688e-02
9.010416412353515625e+01,4.794557765126228333e-02
9.062500000000000000e+01,4.831333830952644348e-02
9.114583587646484375e+01,4.950072988867759705e-02
9.166666412353515625e+01,5.007158964872360229e-02
