field,held_out_pressure_kpa,bracket_lower_kpa,bracket_upper_kpa,bracket_gap_kpa,selected_method,physical_global_relative_l2_percent,physical_shock_window_relative_l2_percent,physical_gradient_weighted_relative_l2_percent,aligned_global_relative_l2_percent,aligned_shock_window_relative_l2_percent,aligned_gradient_weighted_relative_l2_percent,selected_global_relative_l2_percent,selected_shock_window_relative_l2_percent,selected_gradient_weighted_relative_l2_percent,physical_centerline_relative_l2_percent,aligned_centerline_relative_l2_percent
density,16,15.0,18.0,3.0,shock_aligned,3.5955216495535027,14.34076530495644,3.9517606811701764,4.366171213132307,1.7060597077361246,5.649255871166278,4.366171213132307,1.7060597077361246,5.649255871166278,3.9422807149836046,1.958413086712383
density,25,24.0,26.0,2.0,shock_aligned,4.595240857221645,16.436147133590605,5.146127640321357,4.1304408259680505,4.760945584246358,5.162582281029016,4.1304408259680505,4.760945584246358,5.162582281029016,4.7452900280200545,1.9862730828052153
density,30,29.0,33.0,4.0,shock_aligned,4.559117735840107,15.1060642342657,5.364506302448415,4.733839838624434,15.344609883627584,5.817233705243785,4.733839838624434,15.344609883627584,5.817233705243785,4.592926383942362,4.626859580428719
u_ms,16,15.0,18.0,3.0,shock_aligned,7.45214476099785,14.514542254633481,8.717257979219784,3.107499464546748,1.685370390445686,3.587500509277728,3.107499464546748,1.685370390445686,3.587500509277728,7.879932661736497,2.165290466308674
u_ms,25,24.0,26.0,2.0,shock_aligned,11.959861984744864,18.731847814172582,13.018729005466804,5.586307750054024,5.270004831838695,6.52787795080065,5.586307750054024,5.270004831838695,6.52787795080065,12.100578530367304,3.8221314173661676
u_ms,30,29.0,33.0,4.0,shock_aligned,12.105215380582505,17.272695568577383,14.330848879773656,12.038173621090213,17.058345522872,14.57772631634349,12.038173621090213,17.058345522872,14.57772631634349,13.453235032893113,13.275679247874303
v_ms,16,15.0,18.0,3.0,physical_coordinate,10.813382517450147,21.620584919713146,12.873972631396573,14.643029088788845,2.1443565844356227,20.37846454767748,10.813382517450147,21.620584919713146,12.873972631396573,22.24592837720123,11.928078011854602
v_ms,25,24.0,26.0,2.0,physical_coordinate,13.408875716214924,20.88892924143461,14.79946240236224,20.825480632922464,7.283683356467631,25.603795207904223,13.408875716214924,20.88892924143461,14.79946240236224,13.076342597337561,10.839927581376415
v_ms,30,29.0,33.0,4.0,physical_coordinate,12.592550132202337,16.806873240186277,14.925172107256444,14.472721007689026,16.77488751796959,17.695317822882583,12.592550132202337,16.806873240186277,14.925172107256444,18.384305308240677,18.57334117716733
temperature_k,16,15.0,18.0,3.0,shock_aligned,3.910158986415005,8.08089594847437,4.688318234652772,1.7511903707518233,2.0524777702246197,1.927928599182412,1.7511903707518233,2.0524777702246197,1.927928599182412,4.308378189561853,1.4988227216624737
temperature_k,25,24.0,26.0,2.0,shock_aligned,3.8600439218509766,9.341402242800187,4.467986073562506,1.5721794643071878,2.564131616378748,1.982830260356955,1.5721794643071878,2.564131616378748,1.982830260356955,4.181359952794333,1.2539295914000388
temperature_k,30,29.0,33.0,4.0,shock_aligned,2.931129612407375,7.318545376110365,3.737909192514474,2.8931951544309147,7.190344948880449,3.749862028204439,2.8931951544309147,7.190344948880449,3.749862028204439,3.1883907267940423,3.1055772135180706
mach,16,15.0,18.0,3.0,shock_aligned,8.750935022278366,16.6079110275051,10.666014496009609,3.573525948688943,3.978609823095705,3.919508759339864,3.573525948688943,3.978609823095705,3.919508759339864,8.939611185467939,2.6428423007294937
mach,25,24.0,26.0,2.0,shock_aligned,14.36752705281806,21.89375842492021,15.996560137943954,5.984422068411021,6.0451347262816455,7.111724897602092,5.984422068411021,6.0451347262816455,7.111724897602092,14.6619171130522,4.25087454137459
mach,30,29.0,33.0,4.0,shock_aligned,14.437834114035065,19.913752792323674,17.42778718874438,14.200068880728105,19.485551577210384,17.419997571798085,14.200068880728105,19.485551577210384,17.419997571798085,15.852349828247734,15.444839178103893
pressure_tecplot,16,15.0,18.0,3.0,shock_aligned,4.330519008224966,17.173978032771892,4.780316121831624,5.0202405791132,2.3100481509856814,6.371875186375563,5.0202405791132,2.3100481509856814,6.371875186375563,4.808945313789191,2.6260972366525306
pressure_tecplot,25,24.0,26.0,2.0,shock_aligned,5.3746870043329436,20.081957985497787,6.055458065591145,4.539458311726829,5.868831011008672,5.729999911749671,4.539458311726829,5.868831011008672,5.729999911749671,5.535962280923437,2.3041171277559203
pressure_tecplot,30,29.0,33.0,4.0,shock_aligned,5.19856883281757,18.323476188079457,6.2079361225946155,5.406356792729334,18.730154805672264,6.734506858212398,5.406356792729334,18.730154805672264,6.734506858212398,5.27079609365241,5.337534197348763
