field,method,loo_fold_count,loo_mean_global_relative_l2_percent,loo_max_global_relative_l2_percent,loo_mean_shock_window_relative_l2_percent,loo_mean_gradient_weighted_relative_l2_percent,global_guardrail_eligible,selected,selection_rule
density,physical_coordinate,10,6.372730521904596,14.082127345964551,22.142560135336346,7.014282329279672,True,False,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
density,shock_aligned,10,7.879245267421917,15.361550173492567,20.8120317607504,8.993385182675048,True,True,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
u_ms,physical_coordinate,10,15.941867609152357,32.893192166269344,24.839884712335344,16.90916587150459,True,False,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
u_ms,shock_aligned,10,16.35091267552725,34.73832267036931,23.474972243093227,17.779187952012126,True,True,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
v_ms,physical_coordinate,10,18.73990727285129,34.35128032764204,28.387097019560468,20.051274471332867,True,True,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
v_ms,shock_aligned,10,26.293384390788493,46.57746354931575,27.242779928328048,29.795785853393703,False,False,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
temperature_k,physical_coordinate,10,5.245047595282901,11.30084682494812,11.66967990488345,5.766302023280433,True,False,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
temperature_k,shock_aligned,10,5.30570385380288,12.436658898619738,10.901615861223062,5.9640307567567215,True,True,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
mach,physical_coordinate,10,18.070623048545254,35.98809016641495,28.171050648949468,19.527924305099223,True,False,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
mach,shock_aligned,10,18.378028314954253,38.6585065968411,26.522273582578133,20.31389014953004,True,True,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
pressure_tecplot,physical_coordinate,10,7.545696680210163,16.72393433256337,26.774093191631174,8.362624912638434,True,False,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
pressure_tecplot,shock_aligned,10,9.152243428425669,18.2355076300907,25.210734634276008,10.509348708681697,True,True,select shock alignment when it lowers mean shock-window error and raises mean global error by no more than 2 percentage points
