held_out_pressure_kpa,field,flowmllab_relative_l2_percent,article_relative_l2_percent,flowmllab_minus_article_percentage_points,flowmllab_method
16,density,3.5955216495535027,4.8,-1.204478350446497,local_field_interpolation
25,density,4.595240857221645,3.3,1.2952408572216454,local_field_interpolation
30,density,4.559117735840107,3.3,1.2591177358401069,local_field_interpolation
16,u_ms,7.45214476099785,11.2,-3.747855239002149,local_field_interpolation
25,u_ms,11.959861984744864,7.5,4.4598619847448635,local_field_interpolation
30,u_ms,9.981786403362824,8.9,1.0817864033628233,pod_neural
16,v_ms,10.813382517450147,14.8,-3.9866174825498533,local_field_interpolation
25,v_ms,13.408875716214924,7.6,5.808875716214924,local_field_interpolation
30,v_ms,12.592550132202337,5.3,7.292550132202337,local_field_interpolation
16,temperature_k,3.910158986415005,4.3,-0.389841013584995,local_field_interpolation
25,temperature_k,3.8600439218509766,2.0,1.8600439218509766,local_field_interpolation
30,temperature_k,2.931129612407375,1.9,1.031129612407375,local_field_interpolation
16,mach,8.750935022278366,13.2,-4.449064977721633,local_field_interpolation
25,mach,14.36752705281806,8.7,5.667527052818061,local_field_interpolation
30,mach,14.437834114035065,10.0,4.437834114035065,local_field_interpolation
16,pressure_tecplot,4.330519008224966,6.8,-2.4694809917750336,local_field_interpolation
25,pressure_tecplot,5.3746870043329436,3.8,1.5746870043329437,local_field_interpolation
30,pressure_tecplot,5.19856883281757,3.8,1.3985688328175705,local_field_interpolation
