branch,rank,width,seed,validation_pressure_kpa,fit_converged,density_global_percent,u_ms_global_percent,v_ms_global_percent,temperature_k_global_percent,mach_global_percent,pressure_tecplot_global_percent
polynomial,2,0,690,18.0,True,4.138145089486135,9.590473938051582,12.572993496805356,4.446638763731913,11.332189512027549,4.968455217800857
polynomial,2,0,690,19.0,True,1.3434404949172074,6.436249591474873,11.872591933322903,1.2280060537964452,5.6035445725769755,2.013345343828915
polynomial,2,0,690,20.0,True,3.9685211046455753,9.512918580808993,10.77091159578188,3.415460715283852,10.786291288694104,4.713974643100678
polynomial,2,0,690,22.0,True,14.202160947761532,33.68125273760383,36.05704241490707,11.962572566305345,37.32053131601713,16.843283352318664
polynomial,2,0,690,23.0,True,3.8041669559205724,9.39248335096244,12.12194759882932,2.9384423442539322,10.945593495470083,4.409535309928989
polynomial,2,0,690,24.0,True,5.953956987013435,14.351500288024305,18.94915040210184,5.082833552816226,16.521564057811588,7.303150898077447
polynomial,2,0,690,26.0,True,4.288148986816912,11.167003157319519,10.91181145168273,3.027045545962271,13.072971098122002,4.919663602413614
polynomial,2,0,690,27.0,True,3.05442628928461,7.914287476005809,11.5946339055043,1.9982061862523635,9.074376267662485,3.5209468818951914
polynomial,2,0,690,28.0,True,2.4515610283917235,7.942995156029956,11.857185089671837,2.115904731495711,8.582081109627824,3.0728930954807727
polynomial,2,0,690,29.0,True,1.4920183138766483,3.8775562770423115,5.0312813317289375,0.8746214985092466,4.0864631595772805,1.826137388340552
neural,2,8,690,18.0,True,4.379188309652674,11.566054632336051,14.899978010644388,4.273573807454584,12.37388257638022,5.2237402082933135
neural,2,8,690,19.0,True,1.6513290543164658,4.961876229101231,10.458388876495148,1.4955089539409796,4.411811964480856,2.691080264387885
neural,2,8,690,20.0,True,4.32309564329685,11.007988255845937,12.541350465446149,3.50564968803284,11.847792835379744,5.04219863357992
neural,2,8,690,22.0,True,14.053817105109253,33.785761708174675,36.38352923282282,11.97531420259381,37.37261283431232,16.7112464166371
neural,2,8,690,23.0,False,4.731346766003211,12.655576449881172,14.489396633634827,3.265345607742908,13.414748963094242,5.195010556013084
neural,2,8,690,24.0,True,6.737360892538782,14.162396625481822,15.693258731498805,4.771469429463304,16.522122366987478,7.769953803447594
neural,2,8,690,26.0,True,4.150899745021933,10.526440711189794,10.472171569025267,3.0322957785893543,12.63217402017862,4.79493493445113
neural,2,8,690,27.0,True,2.764844777192539,7.895610552873464,12.979899794543046,1.8979028776931843,8.848348631695183,3.2925087923386673
neural,2,8,690,28.0,False,3.0955298929268853,7.944446386181044,11.39147394721231,2.2981602437457194,8.809666086174966,3.9141920823945213
neural,2,8,690,29.0,True,1.5447492530697138,3.8947363907337342,4.95292008610538,0.9007464410198214,4.001263463746484,1.986158928751514
neural,2,8,691,18.0,True,4.375520966482334,11.438203380694564,14.74920952719993,4.278521520186913,12.311376369774427,5.206311158702083
neural,2,8,691,19.0,True,1.6894688370991635,4.775545940184216,10.237084717649648,1.550463384625031,4.24622912558752,2.7815630588789637
neural,2,8,691,20.0,False,4.206147536828311,10.628715502639793,12.056973643975624,3.475650652468608,11.552156700916692,4.948729893470263
neural,2,8,691,22.0,True,14.053338310964852,33.80560039701225,36.42100991893596,11.975368997837636,37.385143045645044,16.708795252573516
neural,2,8,691,23.0,True,4.750973625097459,12.10622649047679,13.952146113239325,3.2215342530860904,13.099532661022936,5.1703329629921635
neural,2,8,691,24.0,True,6.942040010060663,14.225781418871271,15.635755479290076,4.79215793525381,16.60407620845437,7.97204431254076
neural,2,8,691,26.0,True,4.065174688771255,10.462229261518983,10.510473803229639,3.0139919504201154,12.523407900257572,4.722403566747884
neural,2,8,691,27.0,True,2.7426472234677957,7.989854443966296,13.266186501550179,1.8918091057341688,8.90113744961139,3.2626258686549074
neural,2,8,691,28.0,True,2.9674822630821023,7.921131406202946,11.415885095691564,2.2627456303764637,8.753701494434566,3.758430041197504
neural,2,8,691,29.0,False,1.5696294739053576,3.5644665619119804,5.377015904277489,0.8381210000291985,3.759669346234006,1.9901942756505895
neural,2,8,692,18.0,True,4.345692735334796,11.420967419562578,14.717736839033451,4.27547891726196,12.28297811445605,5.190904617374127
neural,2,8,692,19.0,True,1.7154844423543136,4.720200272412909,10.181148947368802,1.5756028944007114,4.1962894768729075,2.8326459783185873
neural,2,8,692,20.0,False,4.250031223698644,10.833365155739855,12.313253073712945,3.487517732033115,11.693231267099602,4.991064869747822
neural,2,8,692,22.0,True,14.031271382547777,33.79061412781088,36.41689971202198,11.977418886709827,37.373665826891795,16.69240972021558
neural,2,8,692,23.0,True,4.357649993577147,11.860235293335569,13.632216321042796,3.1757101733381186,12.692155640311043,4.941752846518389
neural,2,8,692,24.0,True,6.884688768097566,14.187293483739397,15.683323353473583,4.793456327472983,16.56991193056446,7.9223228191587935
neural,2,8,692,26.0,False,4.097124928339255,10.476803324738029,10.43341964619204,3.0117071679833773,12.554686188862863,4.748142315935901
neural,2,8,692,27.0,True,2.7832642034369446,8.086673513819989,13.24985276926189,1.9159411275260194,9.043463570288264,3.2625645049784104
neural,2,8,692,28.0,True,2.9175474009927416,7.841377153510254,11.270996257669221,2.2264120240067675,8.689196837578171,3.6781514511725724
neural,2,8,692,29.0,False,1.4999585843680057,3.5957386622132033,5.328871127696212,0.8336187915638896,3.8121602464738067,1.8893013101557645
neural,2,16,690,18.0,True,4.416224382049712,11.622925800539953,14.981422969054412,4.275633330111769,12.424966497929942,5.247459079775667
neural,2,16,690,19.0,False,1.6394360635511944,4.9887245774515065,10.482347230540768,1.4857373291543685,4.434476510358281,2.6688221921785003
neural,2,16,690,20.0,False,4.094848109014905,9.473739013979142,10.692841149396571,3.474874492651677,10.934135468248613,4.772521608567193
neural,2,16,690,22.0,True,13.989992997856715,33.75549610823278,36.3974042636159,11.981429271248155,37.347766640581156,16.662617929870404
neural,2,16,690,23.0,True,4.701816226741301,11.983647419728051,13.824062811953663,3.2082922030561187,12.996759777718001,5.132705051670544
neural,2,16,690,24.0,False,6.778764859123671,14.222559072210982,15.607290463172415,4.760102137188827,16.563584955050715,7.796222601079565
neural,2,16,690,26.0,True,3.99947712439161,10.405981347243271,10.5258591044482,2.9934452829569516,12.428366467517023,4.665903949539234
neural,2,16,690,27.0,True,2.7951337103723612,7.987752283134643,13.009696953672586,1.91531898554315,8.974794697546434,3.2844483253650893
neural,2,16,690,28.0,True,2.833922512547112,7.920011892469364,11.496152550294429,2.230651846588422,8.708594416862592,3.5969959005470917
neural,2,16,690,29.0,True,1.7610928168056588,3.912205608303577,7.2084497027696415,0.7634791696922273,4.054242163379403,2.0704669397585405
neural,2,16,691,18.0,True,4.4216458952296565,11.89107540076587,15.296584490875563,4.267916814249375,12.55543592570284,5.286538333286733
neural,2,16,691,19.0,True,1.7237458633370506,4.720059655473579,10.190494526697053,1.5788646984956873,4.196867146554519,2.84556584610988
neural,2,16,691,20.0,True,4.248666626427788,10.698962645396104,12.147928484101971,3.486525565798378,11.62902184067366,4.974201474311507
neural,2,16,691,22.0,True,13.99125441662321,33.75227047680519,36.39006369108686,11.981308057392695,37.345831065611215,16.66399071957559
neural,2,16,691,23.0,True,4.727607684572446,12.566855020523995,14.399171829319505,3.257481810501929,13.359264764689483,5.186439394117651
neural,2,16,691,24.0,False,6.8010395245862165,14.416624709543141,15.40740378054154,4.715632063253219,16.67225118880797,7.77384220520566
neural,2,16,691,26.0,True,4.029465131113959,10.4220848169996,10.478884113683032,2.998053645077446,12.46412169254917,4.69133037431801
neural,2,16,691,27.0,True,2.8251451921296287,8.323218226551834,13.599358702473694,1.942535331693437,9.259573328166885,3.270598571450863
