method,seed,Re,relative_L2_uv,MAE_u,MAE_v,p95_vector_error,max_vector_error,div_l2_pred,div_linf_pred,wall_rms_error,wall_max_error,lid_u_mae,centerline_rel_L2_u,centerline_rel_L2_v,centerline_rel_L2_p_vertical,centerline_rel_L2_p_horizontal,relative_L2_p,relative_L2_p_interior,MAE_p,max_p_error
individual POD-DeepONet,690,175.0,0.005888723947791729,0.0007760058824580276,0.0007862050835361946,0.003163174898653256,0.004321838611626371,1.0931721748488603e-15,9.103828801926284e-15,0.0,0.0,0.0,0.004914101952135292,0.0069231210938025985,0.005300208148207968,0.012275430696277264,0.004214743496752671,0.004901398955543925,0.00018143601284339393,0.0034696408666294865
individual POD-DeepONet,690,275.0,0.0010052484473958838,0.00015283136512586902,0.00012924338406580053,0.0004904249833658335,0.0007951437948517102,1.0925622492020555e-15,9.325873406851315e-15,0.0,0.0,0.0,0.0009245168456117323,0.0011004435799545802,0.0014206121051196447,0.0012646653507798903,0.0014525773168178185,0.0019302535866581672,5.6997057924378784e-05,0.0006718626344230927
individual POD-DeepONet,690,375.0,0.0008553647887918236,0.0001283298332941779,9.113053117306325e-05,0.0005217667059006933,0.0007219973584358549,1.1124090323575073e-15,9.603429163007604e-15,0.0,0.0,0.0,0.0009301681667112199,0.0008514858565907613,0.0019545070069507766,0.0023511924414301097,0.0012230553984310922,0.0016458867761190118,4.5575000496563e-05,0.00034338261124750025
individual POD-DeepONet,691,175.0,0.0030089088169082913,0.0004116538248181688,0.0004234147096156653,0.0014610674606356081,0.0017072856455101425,1.091122083638951e-15,9.769962616701378e-15,0.0,0.0,0.0,0.0028344556229657355,0.00426023595793706,0.00520812048700399,0.010860444338639811,0.0029063288211928166,0.004108701761088965,0.0001459723986198674,0.0013101680029155016
individual POD-DeepONet,691,275.0,0.0007132066237982053,0.00010722852099835608,9.321929703419972e-05,0.00036494418917818074,0.0005401357408470901,1.0781555943518284e-15,8.215650382226158e-15,0.0,0.0,0.0,0.0006867769023283925,0.0006601235105833357,0.0014168455728622634,0.0013450282383564052,0.0015307718150870306,0.0019060828639664406,5.711674202031315e-05,0.0009111791863463115
individual POD-DeepONet,691,375.0,0.0010789043660515587,0.00016405494261429216,0.00013695549692452897,0.0005923126782109183,0.0007576197158093087,1.1148954199555134e-15,8.548717289613705e-15,0.0,0.0,0.0,0.0012320916018665024,0.0014085517788181687,0.001823255042689063,0.002157108032737034,0.0014676977804200387,0.0017032537557850546,5.061556780019933e-05,0.0008534785906667286
individual POD-DeepONet,692,175.0,0.0052473611395667565,0.0008117562416968461,0.0006514273322422337,0.002647011604801532,0.0031461148822169846,1.0601202553790454e-15,8.659739592076221e-15,0.0,0.0,0.0,0.005631609024341672,0.008078226083540165,0.005971210353435865,0.013123307717873416,0.002773304408260868,0.004146929926288477,0.00014122466009446557,0.0006712008011762194
individual POD-DeepONet,692,275.0,0.0006896066244198809,9.685265663581472e-05,8.315413412924868e-05,0.0003968981511920346,0.0005983080435763631,1.1088527511021718e-15,8.326672684688674e-15,0.0,0.0,0.0,0.0006867324082097246,0.0004916379770746673,0.0017540696140771774,0.0027160188111091843,0.0013251749790309743,0.0017831966169492256,5.186585270975776e-05,0.0005950680495656058
individual POD-DeepONet,692,375.0,0.0014697827988612358,0.00023219843379827557,0.00018249067857268786,0.0007921925693571265,0.0009744497316593655,1.1565408262565338e-15,8.576472865229334e-15,0.0,0.0,0.0,0.0016723527856034313,0.0018301686893942729,0.0012890379511682167,0.0014611115456810869,0.0010112309149424429,0.0012320784680088827,3.681487305991545e-05,0.00041768517884099854
three-seed POD-DeepONet ensemble,-1,175.0,0.004455240539208645,0.0006272867309027355,0.0005959202595969887,0.0022665435493853894,0.002826330704796571,1.3082202984229477e-15,1.0380585280245214e-14,0.0,0.0,0.0,0.004259596001436698,0.006244660729414911,0.005401269385888685,0.011965645822954122,0.002505705262000779,0.0037925183579262125,0.000129219876184716,0.0005242803399501117
three-seed POD-DeepONet ensemble,-1,275.0,0.0007269445421553413,0.00010779673750728352,9.474091443536e-05,0.0003763322707634955,0.0005932029608733787,1.3344165791127746e-15,1.0172418463127997e-14,0.0,0.0,0.0,0.0006641007133520758,0.0006722615218237592,0.0014380917056839011,0.0015529070417127553,0.0012452728711303991,0.0017274446232868272,4.854028725294676e-05,0.00041269794270004656
three-seed POD-DeepONet ensemble,-1,375.0,0.0009470942245723792,0.0001419888569650464,0.00012087243765067573,0.0005266474036408998,0.0007257621447185068,1.417750011536666e-15,1.0769163338864018e-14,0.0,0.0,0.0,0.0010953809916256542,0.0012336572780716633,0.00165910102690965,0.001985555241255694,0.0010729407417990658,0.001416363146306148,4.029277099343644e-05,0.00037039678571859636
