model,sampler,seed,status,updates,target_exposures,ceiling_percent,selected_epoch,selected_global_percent,selected_vortex_percent,terminal_global_percent,terminal_vortex_percent
mlp,uniform,690,selected,5580,5400000,8.826300739351074,85,7.733464097244829,107.0467918183244,6.826300739351074,115.85172709126037
deeponet,uniform,690,no_eligible_checkpoint,5580,5400000,8.826300739351074,,,,13.999221860130348,202.33666663501106
geom,uniform,690,selected,5580,5400000,8.826300739351074,60,6.122959367048535,66.3153973948107,7.413321540333502,86.70645813783105
mlp,zonal,690,no_eligible_checkpoint,5490,5400000,8.826300739351074,,,,9.538654419987571,38.9059433798431
deeponet,zonal,690,no_eligible_checkpoint,5490,5400000,8.826300739351074,,,,25.378490385664584,101.83173054718151
geom,zonal,690,no_eligible_checkpoint,5490,5400000,8.826300739351074,,,,38.09904738126032,102.27437193265206
mlp,uniform,691,selected,5580,5400000,8.390555018178661,85,6.714356366261006,93.64078336900522,6.390555018178661,97.023999252183
deeponet,uniform,691,no_eligible_checkpoint,5580,5400000,8.390555018178661,,,,15.167712117094347,192.20873752794657
geom,uniform,691,selected,5580,5400000,8.390555018178661,85,6.71735865262928,62.872385872680425,19.06189489950551,169.01852303463028
mlp,zonal,691,no_eligible_checkpoint,5580,5400000,8.390555018178661,,,,10.854886874743883,49.6266640312846
deeponet,zonal,691,no_eligible_checkpoint,5580,5400000,8.390555018178661,,,,22.231449012716453,81.645036015892
geom,zonal,691,no_eligible_checkpoint,5580,5400000,8.390555018178661,,,,33.974733074053105,117.45743078894958
mlp,uniform,692,selected,5580,5400000,9.292511093188473,85,7.311999977571983,110.5253805064531,7.366343434478624,112.3192559819138
deeponet,uniform,692,no_eligible_checkpoint,5580,5400000,9.292511093188473,,,,12.851994511907387,176.77721563873664
geom,uniform,692,selected,5580,5400000,9.292511093188473,55,5.718405217899084,53.362972168186104,5.089147012996547,57.23667670914858
mlp,zonal,692,no_eligible_checkpoint,5580,5400000,9.292511093188473,,,,10.465261491482085,44.39819604865619
deeponet,zonal,692,no_eligible_checkpoint,5580,5400000,9.292511093188473,,,,22.314789341235965,96.75605636274567
geom,zonal,692,no_eligible_checkpoint,5580,5400000,9.292511093188473,,,,38.421390057577646,99.29946608817193
