case_index,geometry_id_inferred,Re,split,fluid_cells,geometry_mask_sha256
0,1,100,train,14040,fe79810c23e526ab5b487f598d1836a01d2e050bfac455281900edfdb8e3a38a
1,1,25,train,14040,fe79810c23e526ab5b487f598d1836a01d2e050bfac455281900edfdb8e3a38a
2,1,50,train,14040,fe79810c23e526ab5b487f598d1836a01d2e050bfac455281900edfdb8e3a38a
3,2,100,train,13221,3906fb34094b05d89efd7031295537cf5fb5d0fc59eae60a91cc8556844b5e0b
4,2,25,train,13221,3906fb34094b05d89efd7031295537cf5fb5d0fc59eae60a91cc8556844b5e0b
5,2,50,train,13221,3906fb34094b05d89efd7031295537cf5fb5d0fc59eae60a91cc8556844b5e0b
6,3,100,train,12780,4c994600490a9ffff99f3b9100facc763c2caac657f48e3da75c4cc0f55f92d6
7,3,50,train,12780,4c994600490a9ffff99f3b9100facc763c2caac657f48e3da75c4cc0f55f92d6
8,4,100,train,13407,3f07f6612650baa4fe45280951d22e0a0483c69acb4cc720f7ba0de3214a9025
9,4,25,train,13407,3f07f6612650baa4fe45280951d22e0a0483c69acb4cc720f7ba0de3214a9025
10,4,50,train,13407,3f07f6612650baa4fe45280951d22e0a0483c69acb4cc720f7ba0de3214a9025
11,5,100,train,13320,3da3cae08bdba72f9c180a3666f1c0fe8a6f3d1104a0643d9168e30f30e46e86
12,5,25,train,13320,3da3cae08bdba72f9c180a3666f1c0fe8a6f3d1104a0643d9168e30f30e46e86
13,5,50,train,13320,3da3cae08bdba72f9c180a3666f1c0fe8a6f3d1104a0643d9168e30f30e46e86
14,6,100,train,13760,8de6d298f28a4492f9b2d877ac1af9f2dfada87ac40556dd7a7f09f79679db4f
15,6,25,train,13760,8de6d298f28a4492f9b2d877ac1af9f2dfada87ac40556dd7a7f09f79679db4f
16,6,50,train,13760,8de6d298f28a4492f9b2d877ac1af9f2dfada87ac40556dd7a7f09f79679db4f
17,7,100,train,13764,886a22eb84a81ee1df9d6c9e64c47263aad2137b1b2c5afcaa03a4a110b7b35f
18,7,25,train,13764,886a22eb84a81ee1df9d6c9e64c47263aad2137b1b2c5afcaa03a4a110b7b35f
19,7,50,train,13764,886a22eb84a81ee1df9d6c9e64c47263aad2137b1b2c5afcaa03a4a110b7b35f
20,8,100,train,13744,c3010424686b357d78aa6c4e346449603f21472a4b74003a397969a45696fef2
21,8,25,train,13744,c3010424686b357d78aa6c4e346449603f21472a4b74003a397969a45696fef2
