train_family,test_family,mode,model,seed,case,Re,parameters,epoch,training_seconds,inference_seconds,checkpoint_sha256,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,constant,direct,coordinate_mlp,7,constant_test_0000,378.39963682209583,3457.0,300.0,3.1563516140013235,0.0002480931664952853,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.2236878880045489,0.43774890519860543,0.844794076243751,7.485733988232823e-08,0.5737167160978925,0.04166666666666663
constant,constant,direct,coordinate_mlp,7,constant_test_0001,275.5175743523432,3457.0,300.0,3.1563516140013235,0.0002480931664952853,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.2159967362527042,0.42080601568458864,0.8158350802358726,8.478417612423073e-08,0.5592375978235953,0.05892556509887899
constant,constant,direct,coordinate_mlp,7,constant_test_0002,205.77449124508615,3457.0,300.0,3.1563516140013235,0.0002480931664952853,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.217336919423858,0.4157394836866619,0.7962971960380119,7.923502209905564e-08,0.5496639891534965,0.04166666666666674
constant,constant,direct,coordinate_mlp,7,constant_test_0003,356.31307787809095,3457.0,300.0,3.1563516140013235,0.0002480931664952853,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.22079738951551267,0.4333600005405002,0.8387001812913771,8.580806110103367e-08,0.570581652703475,0.04166666666666663
constant,constant,direct,coordinate_mlp,7,constant_test_0004,364.9641357923895,3457.0,300.0,3.1563516140013235,0.0002480931664952853,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.22182661025462505,0.4350303633477067,0.841099971929533,7.572638338615434e-08,0.5718082236343875,0.04166666666666663
constant,constant,direct,coordinate_mlp,7,constant_test_0005,326.11288015095056,3457.0,300.0,3.1563516140013235,0.0002480931664952853,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.21809163644747748,0.4280082274357704,0.8302192435536292,7.908266752565396e-08,0.5663158836994963,0.05892556509887899
constant,diverse,direct,coordinate_mlp,7,diverse_test_0000,378.39963682209583,3457.0,300.0,3.1563516140013235,0.00017640533284672225,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.5126439493936498,0.5994226986157211,0.8176513483516843,8.64670326450323e-08,0.2853364535520869,0.05892556509887899
constant,diverse,direct,coordinate_mlp,7,diverse_test_0001,275.5175743523432,3457.0,300.0,3.1563516140013235,0.00017640533284672225,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.245108052907862,0.43158747572957823,0.8032836514068662,8.652865091107742e-08,0.4491424575543266,0.04166666666666674
constant,diverse,direct,coordinate_mlp,7,diverse_test_0002,205.77449124508615,3457.0,300.0,3.1563516140013235,0.00017640533284672225,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.4534837951731902,0.5462596837155235,0.7872508340783871,1.030056253625844e-07,0.3128136268832732,0.04166666666666674
constant,diverse,direct,coordinate_mlp,7,diverse_test_0003,356.31307787809095,3457.0,300.0,3.1563516140013235,0.00017640533284672225,25eaec40a3d8ff6dfc8f8851e478eb6e21cade669c36ae48f4ebda2bd181a678,0.27941978391608596,0.49096622146264085,0.8475368440498549,7.430660531326794e-08,0.43493758033242685,0.05892556509887899
