train_family,test_family,mode,model,mean,std
constant,constant,baseline,rbf_direct,0.0012035397333036337,0.0011910234780227087
constant,constant,baseline,stokes,0.5720153506363791,0.05401064835514988
constant,constant,direct,coordinate_mlp,0.3984470514148198,0.02638203459131716
constant,constant,direct,fno,0.0825885233213966,0.022639106405533516
constant,constant,direct,fno_physics,0.13682429225810425,0.02286577726723853
constant,constant,direct,pod_deeponet,0.026227496653962665,0.013390218754471208
constant,constant,direct,unet,0.09516022163640964,0.022946113777034215
constant,constant,stokes_corrected,coordinate_mlp,0.3146531481630831,0.027171025692325494
constant,constant,stokes_corrected,fno,0.05571436266458291,0.017136159344429244
constant,constant,stokes_corrected,fno_physics,0.12466696969278154,0.016243419011536378
constant,constant,stokes_corrected,pod_deeponet,0.02543622957133284,0.014247068050827027
constant,constant,stokes_corrected,unet,0.05272416053400458,0.01758116195862385
constant,diverse,baseline,rbf_direct,0.2114589702351095,0.13947223788866514
constant,diverse,baseline,stokes,0.5274061588731557,0.05007569645463464
constant,diverse,direct,coordinate_mlp,0.7100009127434426,0.287088450652714
constant,diverse,direct,fno,0.2693324346718399,0.15521475860719883
constant,diverse,direct,fno_physics,0.3473578572769133,0.1786773111330363
constant,diverse,direct,pod_deeponet,0.2223504769836513,0.14109010061248448
constant,diverse,direct,unet,0.330824284531414,0.20959915260430492
constant,diverse,stokes_corrected,coordinate_mlp,0.5136958134681131,0.1703998595276945
constant,diverse,stokes_corrected,fno,0.2538866994168205,0.15076929916752893
constant,diverse,stokes_corrected,fno_physics,0.28802897003798233,0.15158595497411922
constant,diverse,stokes_corrected,pod_deeponet,0.2658693352888339,0.14750038689308165
constant,diverse,stokes_corrected,unet,0.12671932617189363,0.05658007564193245
constant,ood_re,baseline,rbf_direct,0.20016749303571335,0.12607477351540605
constant,ood_re,baseline,stokes,0.6989173504064672,0.05531406000126366
constant,ood_re,direct,coordinate_mlp,0.6567215871371705,0.22397008003822116
constant,ood_re,direct,fno,0.29150212656849,0.15657445526898572
constant,ood_re,direct,fno_physics,0.34842533044363777,0.16129822774190083
constant,ood_re,direct,pod_deeponet,0.30552020305247,0.14663651763638366
constant,ood_re,direct,unet,0.30054667619119574,0.12287522804008807
constant,ood_re,stokes_corrected,coordinate_mlp,0.6286955755863717,0.20072579011623295
constant,ood_re,stokes_corrected,fno,0.26738925250431156,0.14268478231431128
constant,ood_re,stokes_corrected,fno_physics,0.29596253035864906,0.11104296474215307
constant,ood_re,stokes_corrected,pod_deeponet,0.3496161157329431,0.19851217377542132
constant,ood_re,stokes_corrected,unet,0.16738091928709486,0.04932251768897735
constant,ood_shape,baseline,rbf_direct,0.489944558319009,0.21001668256800163
constant,ood_shape,baseline,stokes,0.4404492480341657,0.07046382637410792
constant,ood_shape,direct,coordinate_mlp,1.3210929637099451,0.5280817093346041
constant,ood_shape,direct,fno,0.5517650500446895,0.26368052108592777
constant,ood_shape,direct,fno_physics,0.6655231372404865,0.2747429457684405
constant,ood_shape,direct,pod_deeponet,0.47238401040109834,0.1929660027856419
constant,ood_shape,direct,unet,0.7244898941433725,0.29412992499247226
constant,ood_shape,stokes_corrected,coordinate_mlp,0.8014351110808084,0.23762762615649083
constant,ood_shape,stokes_corrected,fno,0.41050789448632286,0.15738918910322494
constant,ood_shape,stokes_corrected,fno_physics,0.4588294953403178,0.13931119407322023
constant,ood_shape,stokes_corrected,pod_deeponet,0.47893166961069117,0.21571480496907658
constant,ood_shape,stokes_corrected,unet,0.23934601213309709,0.0978498998431638
diverse,constant,baseline,rbf_direct,0.09389993100944428,0.0160944097772067
diverse,constant,baseline,stokes,0.5720153506363791,0.05401064835514988
diverse,constant,direct,coordinate_mlp,0.4327903686043916,0.010923531860134976
diverse,constant,direct,fno,0.12595523441594125,0.008008606250564272
diverse,constant,direct,fno_physics,0.1589962880524566,0.016363547806704713
diverse,constant,direct,pod_deeponet,0.03817236403206163,0.01591630787962756
diverse,constant,direct,unet,0.14642794162240447,0.020432799784248012
diverse,constant,stokes_corrected,coordinate_mlp,0.4267252846855149,0.055940985390692255
diverse,constant,stokes_corrected,fno,0.0840858892090699,0.027163100219924984
diverse,constant,stokes_corrected,fno_physics,0.1403724095981116,0.022965295450410515
diverse,constant,stokes_corrected,pod_deeponet,0.05339335668061349,0.01627872965213434
diverse,constant,stokes_corrected,unet,0.06597150450793733,0.021393256010860884
diverse,diverse,baseline,rbf_direct,0.06458968004770561,0.04034873731977781
diverse,diverse,baseline,stokes,0.5274061588731557,0.05007569645463464
diverse,diverse,direct,coordinate_mlp,0.4343941142721979,0.04003485884208149
diverse,diverse,direct,fno,0.12460051070202227,0.04708304694254616
diverse,diverse,direct,fno_physics,0.16687365921180844,0.05801096258905227
diverse,diverse,direct,pod_deeponet,0.04191205409598668,0.0233626989526064
diverse,diverse,direct,unet,0.15303124566061974,0.051723912832610304
diverse,diverse,stokes_corrected,coordinate_mlp,0.3780151242320499,0.05684211721689793
diverse,diverse,stokes_corrected,fno,0.07113428531711764,0.029045421044267217
diverse,diverse,stokes_corrected,fno_physics,0.13037725512006368,0.04089278409704976
diverse,diverse,stokes_corrected,pod_deeponet,0.040927765143618206,0.021050193381926256
diverse,diverse,stokes_corrected,unet,0.07132393679082906,0.031697772781725794
diverse,ood_re,baseline,rbf_direct,0.17246964612515928,0.07624484533354602
diverse,ood_re,baseline,stokes,0.6989173504064672,0.05531406000126366
diverse,ood_re,direct,coordinate_mlp,0.46073602126185986,0.03792223213229598
diverse,ood_re,direct,fno,0.1885298552650708,0.05438494258404581
diverse,ood_re,direct,fno_physics,0.235215670802078,0.05255181144110509
diverse,ood_re,direct,pod_deeponet,0.22364506691714262,0.06647392798288822
diverse,ood_re,direct,unet,0.26114049091967445,0.07479056276862898
diverse,ood_re,stokes_corrected,coordinate_mlp,0.5151953422226596,0.05976008625758126
diverse,ood_re,stokes_corrected,fno,0.19675104026367018,0.05940058474612435
diverse,ood_re,stokes_corrected,fno_physics,0.25023387111710904,0.06323546666452765
diverse,ood_re,stokes_corrected,pod_deeponet,0.22718564684078124,0.07232059824014898
diverse,ood_re,stokes_corrected,unet,0.17158784049096024,0.05898860215772692
diverse,ood_shape,baseline,rbf_direct,0.21142304534897507,0.12190132520909314
diverse,ood_shape,baseline,stokes,0.4404492480341657,0.07046382637410792
diverse,ood_shape,direct,coordinate_mlp,0.5437388761589077,0.11102690496000278
diverse,ood_shape,direct,fno,0.2666467744634544,0.05615952464386924
diverse,ood_shape,direct,fno_physics,0.2894222010705111,0.05747298424438163
diverse,ood_shape,direct,pod_deeponet,0.09495173312740288,0.040768794853780294
diverse,ood_shape,direct,unet,0.2179182233266491,0.054633988099866394
diverse,ood_shape,stokes_corrected,coordinate_mlp,0.4007718267598809,0.0734795658838113
diverse,ood_shape,stokes_corrected,fno,0.10369092557960208,0.033402135890001454
diverse,ood_shape,stokes_corrected,fno_physics,0.1335741836322676,0.04037596845680487
diverse,ood_shape,stokes_corrected,pod_deeponet,0.10317379897536855,0.05899360742663166
diverse,ood_shape,stokes_corrected,unet,0.1084058363447799,0.03686293732373975
