step,phase,train,validation_velocity_rel_l2
1,Adam,0.0007414969312569855,0.11163194499117997
21,Adam,4.388824630537266e-05,0.030420991820587044
41,Adam,3.994582834856746e-05,0.028389606456222967
61,Adam,3.493696449203587e-05,0.02621314156738927
81,Adam,2.9920709266136208e-05,0.02444222871697238
101,Adam,2.2257829555611223e-05,0.02109055516607477
121,Adam,1.2375096508927776e-05,0.015535525747699548
141,Adam,5.2393191430028965e-06,0.009293800003365374
161,Adam,2.8815135405374397e-06,0.005823560093552172
181,Adam,2.4492219899381807e-06,0.00550035654379851
201,Adam,2.256495424280784e-06,0.005193359626143812
221,Adam,2.063644993653204e-06,0.004797415612022194
241,Adam,1.8889692275322422e-06,0.00451976832037226
261,Adam,1.7360288867429118e-06,0.004294334130907817
281,Adam,1.5959595668986345e-06,0.004097550378322781
301,Adam,1.4624420432485846e-06,0.0039040462472823487
321,Adam,1.3324477249416487e-06,0.0037126970240167565
341,Adam,1.2102393324102916e-06,0.003530805091150132
361,Adam,1.1028405145129626e-06,0.003370240962684362
381,Adam,1.01585852849278e-06,0.0032958632073382954
401,Adam,9.276691728717682e-07,0.003108564524838665
421,Adam,8.526908617528306e-07,0.002970830337229756
441,Adam,7.845771678406694e-07,0.0028363067587268477
461,Adam,7.217130578730655e-07,0.002733601902645451
481,Adam,6.637580450406515e-07,0.002629499788495588
501,Adam,6.103511983778109e-07,0.0025303358170739604
521,Adam,5.613922137963334e-07,0.0024383929949770757
541,Adam,5.168141355981277e-07,0.002353577294425177
561,Adam,4.765175054710644e-07,0.0022756257052906808
581,Adam,4.403356342323132e-07,0.0022041787743483435
601,Adam,4.080328531596222e-07,0.0021387731192937737
621,Adam,3.793228164105774e-07,0.002078912804526091
641,Adam,3.53892662699109e-07,0.002024134270146322
661,Adam,3.314235034093108e-07,0.0019740284511376967
681,Adam,3.1160414500998346e-07,0.0019282313298888893
701,Adam,2.9413905530102076e-07,0.0018864041959516156
721,Adam,2.7875265596574544e-07,0.0018482164989595657
741,Adam,2.651915208043021e-07,0.0018133350476408107
761,Adam,2.532253234620054e-07,0.0017814202981963705
781,Adam,2.426469192537864e-07,0.0017521306819937568
801,Adam,2.3327175678461764e-07,0.001725132316418342
821,Adam,2.249367661533268e-07,0.0017001099888871623
841,Adam,2.174988671296185e-07,0.0016767754151870058
861,Adam,2.1083324054522467e-07,0.0016548710310812474
881,Adam,2.0483149756329292e-07,0.0016341698761153881
901,Adam,1.9939986491022487e-07,0.0016144732407701342
921,Adam,1.94457482462187e-07,0.0015956077399322817
941,Adam,1.8993488435340612e-07,0.001577422982797949
961,Adam,1.8577270565274354e-07,0.0015597904633651153
981,Adam,1.8192062259625684e-07,0.0015426038260005388
1001,Adam,1.7833649616750197e-07,0.0015257802496234053
1021,Adam,1.7498565185733086e-07,0.0015092623220797408
1041,Adam,1.718402034918972e-07,0.0014930194898503855
1061,Adam,1.6887832884614423e-07,0.001477048078262613
1081,Adam,1.6608343622675462e-07,0.001461369095412487
1101,Adam,1.634432174079684e-07,0.001446023573668053
1121,Adam,1.609486419547523e-07,0.001431065916940982
1141,Adam,1.5859298556295765e-07,0.0014165563328201191
1161,Adam,1.5637098585282087e-07,0.0014025536744610607
