step,phase,train,validation_velocity_rel_l2
1,Adam,0.0009340665147281386,0.16034622397556603
21,Adam,9.17815702379882e-05,0.05688743189749483
41,Adam,5.171621801517127e-05,0.04586493308670946
61,Adam,4.1323487731690116e-05,0.04050081397969592
81,Adam,3.7674578214927936e-05,0.039469263216395364
101,Adam,3.5097318778874845e-05,0.03883535318596655
121,Adam,3.251597000842881e-05,0.03817102085010658
141,Adam,2.9880580840058974e-05,0.03745275058953487
161,Adam,2.7139929757388472e-05,0.036608683278325
181,Adam,2.4321258606315473e-05,0.03566884936916856
201,Adam,2.1506507220366816e-05,0.03471304620772474
221,Adam,1.8732695992847115e-05,0.0337460640611702
241,Adam,1.6014981695051045e-05,0.03273722719269483
261,Adam,1.341878107077997e-05,0.03167340689113446
281,Adam,1.102495380153433e-05,0.030540023071625788
301,Adam,8.92680016102504e-06,0.029343128034727377
321,Adam,7.216334576771996e-06,0.0281085505332501
341,Adam,5.923663920638275e-06,0.026891131523539065
361,Adam,5.000702614746201e-06,0.025771356660537523
381,Adam,4.3493217795167015e-06,0.024808231851637268
401,Adam,3.8708634984443425e-06,0.024018824203152607
421,Adam,3.496600430823366e-06,0.023389558436345936
441,Adam,3.1874183182198787e-06,0.022893463056095208
461,Adam,2.9226086547091064e-06,0.022501967204763794
481,Adam,2.691039455973799e-06,0.022190086482577157
501,Adam,2.4863603194861158e-06,0.021937720627183514
521,Adam,2.304636642220062e-06,0.02172944386640875
541,Adam,2.1431422492438075e-06,0.02155381502784532
561,Adam,1.999727779311704e-06,0.02140258633136989
581,Adam,1.8725141484038394e-06,0.021269942421434138
601,Adam,1.7597635675561442e-06,0.02115182524100683
621,Adam,1.6598383450258587e-06,0.02104539043140916
641,Adam,1.5712013490878585e-06,0.020948609726020945
661,Adam,1.4924327123506741e-06,0.020860000971231096
681,Adam,1.422247001514704e-06,0.020778452293039686
701,Adam,1.3595027625458754e-06,0.020703106269532603
721,Adam,1.3032025358660472e-06,0.0206332797315069
741,Adam,1.2524850674988317e-06,0.02056840638941111
761,Adam,1.2066126905801501e-06,0.02050799662855786
781,Adam,1.1649566332806656e-06,0.020451611329752824
801,Adam,1.1269822148817234e-06,0.020398846769858408
821,Adam,1.0922350702222852e-06,0.020349327493916256
841,Adam,1.060328919157373e-06,0.020302704260184858
861,Adam,1.030935004002776e-06,0.020258654702818544
881,Adam,1.0037731068336082e-06,0.02021688501697306
901,Adam,9.786039675904217e-07,0.02017713158589645
921,Adam,9.552229017400122e-07,0.020139161962296315
941,Adam,9.334544277969409e-07,0.02010277497003263
961,Adam,9.131477396075387e-07,0.02006779992064702
981,Adam,8.941728851216268e-07,0.020034095068002467
1001,Adam,8.764175376703052e-07,0.020001545481182048
1021,Adam,8.597842660436848e-07,0.01997006052583552
1041,Adam,8.441882259675273e-07,0.019939571127331385
1061,Adam,8.295552085308975e-07,0.019910026959683892
1081,Adam,8.158199914386285e-07,0.01988139367152131
1101,Adam,8.029249472852065e-07,0.019853650229611924
1121,Adam,7.908188698637505e-07,0.01982678643415821
1141,Adam,7.794559851974923e-07,0.01980080063893848
1161,Adam,7.687951187700586e-07,0.0197756976931839
1181,Adam,7.587989945179488e-07,0.019751487110133147
1201,Adam,7.494336446640191e-07,0.019728181458693254
1221,Adam,7.406679125096543e-07,0.019705794968777456
1241,Adam,7.324730329359321e-07,0.019684342337038085
1261,Adam,7.248222776463531e-07,0.01966383771734704
1281,Adam,7.176906541595034e-07,0.01964429387910817
1301,Adam,7.110546492674602e-07,0.019625721516026536
1321,Adam,7.048920091469702e-07,0.01960812868809577
1341,Adam,6.991815495745332e-07,0.019591520380139452
1361,Adam,6.939029907795012e-07,0.019575898161135266
1381,Adam,6.890368123944768e-07,0.01956125992966579
1401,Adam,6.845641247511833e-07,0.019547599732101205
1421,Adam,6.804665534414632e-07,0.019534907641462106
1441,Adam,6.76726134634276e-07,0.019523169686281497
1461,Adam,6.733252191257734e-07,0.019512367820141145
1481,Adam,6.702463835139268e-07,0.019502479923859454
1501,Adam,6.674723472434364e-07,0.019493479833532473
1521,Adam,6.649858945709421e-07,0.019485337388749774
1541,Adam,6.627698007635174e-07,0.019478018496313435
1561,Adam,6.608067620723988e-07,0.019471485205667327
1581,Adam,6.590793292254583e-07,0.019465695792995043
1601,Adam,6.575698443609304e-07,0.01946060485156563
1621,Adam,6.562603814862203e-07,0.019456163386402395
1641,Adam,6.551326906922348e-07,0.01945231891172919
1661,Adam,6.54168146488893e-07,0.019449015549923156
1681,Adam,6.533477007528271e-07,0.01944619413089033
1701,Adam,6.526518408954014e-07,0.01944379229090255
1721,Adam,6.520605539685682e-07,0.019441744570017676
1741,Adam,6.515532975275174e-07,0.019439982507271723
1761,Adam,6.511089781619101e-07,0.019438434732896654
1781,Adam,6.507059386898265e-07,0.019437027056883806
1800,Adam,6.5034105116773e-07,0.01943574949610726
1810,LBFGS,6.5034105116773e-07,0.01943574949610726
1820,LBFGS,6.5034105116773e-07,0.01943574949610726
1830,LBFGS,6.5034105116773e-07,0.01943574949610726
1840,LBFGS,6.5034105116773e-07,0.01943574949610726
1850,LBFGS,6.5034105116773e-07,0.01943574949610726
1860,LBFGS,6.5034105116773e-07,0.01943574949610726
1870,LBFGS,6.5034105116773e-07,0.01943574949610726
1880,LBFGS,6.5034105116773e-07,0.01943574949610726
1890,LBFGS,6.5034105116773e-07,0.01943574949610726
1900,LBFGS,6.5034105116773e-07,0.01943574949610726
1910,LBFGS,6.5034105116773e-07,0.01943574949610726
1920,LBFGS,6.5034105116773e-07,0.01943574949610726
1930,LBFGS,6.5034105116773e-07,0.01943574949610726
1940,LBFGS,6.5034105116773e-07,0.01943574949610726
1950,LBFGS,6.5034105116773e-07,0.01943574949610726
1960,LBFGS,6.5034105116773e-07,0.01943574949610726
1970,LBFGS,6.5034105116773e-07,0.01943574949610726
1980,LBFGS,6.5034105116773e-07,0.01943574949610726
1990,LBFGS,6.5034105116773e-07,0.01943574949610726
2000,LBFGS,6.5034105116773e-07,0.01943574949610726
2010,LBFGS,6.5034105116773e-07,0.01943574949610726
2020,LBFGS,6.5034105116773e-07,0.01943574949610726
2030,LBFGS,6.5034105116773e-07,0.01943574949610726
2040,LBFGS,6.5034105116773e-07,0.01943574949610726
2050,LBFGS,6.5034105116773e-07,0.01943574949610726
