case,family,velocity_grid_shift_rel_l2
constant_test_0000,constant,0.24971883766308098
constant_test_0001,constant,0.17529860639361716
constant_test_0002,constant,0.12526415090249973
constant_test_0003,constant,0.23361958866504073
constant_test_0004,constant,0.2399141817356927
constant_test_0005,constant,0.21173616802825743
diverse_test_0000,diverse,0.19236104615034258
diverse_test_0001,diverse,0.15086817604405348
diverse_test_0002,diverse,0.10626507667658505
diverse_test_0003,diverse,0.2264752488460228
diverse_test_0004,diverse,0.20895711597063313
diverse_test_0005,diverse,0.1837017560181606
ood_shape_0000,ood_shape,0.157787244506799
ood_shape_0001,ood_shape,0.1559633267081846
ood_shape_0002,ood_shape,0.07885016669023191
ood_shape_0003,ood_shape,0.10799799259354728
ood_shape_0004,ood_shape,0.17337621815971727
ood_shape_0005,ood_shape,0.06389062345400111
ood_re_0000,ood_re,0.3563332747090976
ood_re_0001,ood_re,0.30078303755980845
ood_re_0002,ood_re,0.33854890140094174
ood_re_0003,ood_re,0.36435653301463566
ood_re_0004,ood_re,0.26775831615122503
ood_re_0005,ood_re,0.30854980150589995
