family,case,Re,primary_ref_xy,primary_pred_xy,corner_ref_xy,corner_pred_xy,corner_ref_psi,corner_pred_psi,primary_distance,corner_distance
constant,constant_test_0000,378.39963682209583,"(np.float64(0.56), np.float64(0.62))","(np.float64(0.56), np.float64(0.62))","(np.float64(0.88), np.float64(0.12))","(np.float64(0.88), np.float64(0.12))",0.000584765378517659,0.000585294388831112,0.0,0.0
constant,constant_test_0001,275.5175743523432,"(np.float64(0.58), np.float64(0.64))","(np.float64(0.58), np.float64(0.64))","(np.float64(0.9), np.float64(0.12))","(np.float64(0.9), np.float64(0.12))",0.00032595827024727757,0.0003258301601336996,0.0,0.0
constant,constant_test_0002,205.77449124508615,"(np.float64(0.6), np.float64(0.66))","(np.float64(0.6), np.float64(0.68))","(np.float64(0.9), np.float64(0.1))","(np.float64(0.9), np.float64(0.1))",0.0001529970243326631,0.0001525578635103113,0.020000000000000018,0.0
constant,constant_test_0003,356.31307787809095,"(np.float64(0.56), np.float64(0.62))","(np.float64(0.56), np.float64(0.62))","(np.float64(0.88), np.float64(0.12))","(np.float64(0.88), np.float64(0.12))",0.0005311245210861379,0.000533414796074918,0.0,0.0
constant,constant_test_0004,364.9641357923895,"(np.float64(0.56), np.float64(0.62))","(np.float64(0.56), np.float64(0.62))","(np.float64(0.88), np.float64(0.12))","(np.float64(0.88), np.float64(0.12))",0.00055242514827476,0.0005543699582673931,0.0,0.0
constant,constant_test_0005,326.11288015095056,"(np.float64(0.58), np.float64(0.62))","(np.float64(0.58), np.float64(0.62))","(np.float64(0.88), np.float64(0.12))","(np.float64(0.88), np.float64(0.12))",0.00045374096267993534,0.0004551441496619558,0.0,0.0
diverse,diverse_test_0000,378.39963682209583,"(np.float64(0.58), np.float64(0.62))","(np.float64(0.58), np.float64(0.62))","(np.float64(0.9), np.float64(0.12))","(np.float64(0.9), np.float64(0.12))",0.00035682038393423346,0.0003491248189861737,0.0,0.0
diverse,diverse_test_0001,275.5175743523432,"(np.float64(0.6), np.float64(0.66))","(np.float64(0.6), np.float64(0.66))","(np.float64(0.9), np.float64(0.12))","(np.float64(0.9), np.float64(0.12))",0.00018920804411636752,0.00019338772641605868,0.0,0.0
diverse,diverse_test_0002,205.77449124508615,"(np.float64(0.62), np.float64(0.68))","(np.float64(0.62), np.float64(0.68))","(np.float64(0.92), np.float64(0.12))","(np.float64(0.92), np.float64(0.12))",0.00010338192548850755,0.00010464663210684149,0.0,0.0
diverse,diverse_test_0003,356.31307787809095,"(np.float64(0.58), np.float64(0.62))","(np.float64(0.58), np.float64(0.62))","(np.float64(0.88), np.float64(0.12))","(np.float64(0.88), np.float64(0.12))",0.00040028308172039193,0.00038303898736355863,0.0,0.0
diverse,diverse_test_0004,364.9641357923895,"(np.float64(0.58), np.float64(0.64))","(np.float64(0.58), np.float64(0.64))","(np.float64(0.9), np.float64(0.12))","(np.float64(0.9), np.float64(0.12))",0.00018303711717726267,0.00018959619994271494,0.0,0.0
diverse,diverse_test_0005,326.11288015095056,"(np.float64(0.58), np.float64(0.64))","(np.float64(0.58), np.float64(0.64))","(np.float64(0.9), np.float64(0.12))","(np.float64(0.9), np.float64(0.12))",0.0002445838143719381,0.00024028734265218367,0.0,0.0
