family,candidate,step,phase,train,validation_velocity_rel_l2
constant,12_64_0.0,1,Adam,0.0003749792992322174,0.10023160965368813
constant,12_64_0.0,21,Adam,4.648101546336711e-05,0.03862738404930404
constant,12_64_0.0,41,Adam,2.935951112191943e-05,0.029486626536378725
constant,12_64_0.0,61,Adam,2.535533748459292e-05,0.02821657680195141
constant,12_64_0.0,81,Adam,2.4221617182155535e-05,0.027086768992546847
constant,12_64_0.0,101,Adam,2.3245340287871298e-05,0.02652388153272923
constant,12_64_0.0,121,Adam,2.194759435158543e-05,0.02579576762340303
constant,12_64_0.0,141,Adam,2.0131441931335616e-05,0.02464351952621037
constant,12_64_0.0,161,Adam,1.7538999854447277e-05,0.022892058803790943
constant,12_64_0.0,181,Adam,1.4089714868210323e-05,0.020309393153710165
constant,12_64_0.0,201,Adam,1.0165595836558747e-05,0.016893600375502096
constant,12_64_0.0,221,Adam,6.616705947596506e-06,0.013035284629419072
constant,12_64_0.0,241,Adam,4.2014086284513335e-06,0.009561258713765716
constant,12_64_0.0,261,Adam,2.9666626771955493e-06,0.007407462423317626
constant,12_64_0.0,281,Adam,2.4224953672657374e-06,0.006493679039327464
constant,12_64_0.0,301,Adam,2.1362911739438012e-06,0.006007114781516117
constant,12_64_0.0,321,Adam,1.9307579648883688e-06,0.005627230897368831
constant,12_64_0.0,341,Adam,1.7643896472136588e-06,0.005298684334165353
constant,12_64_0.0,361,Adam,1.6242302754192138e-06,0.005026974216392021
constant,12_64_0.0,381,Adam,1.5022364829593779e-06,0.004795055085937191
constant,12_64_0.0,401,Adam,1.3929278693055729e-06,0.004593556612558922
constant,12_64_0.0,421,Adam,1.2929526325758524e-06,0.004414810265704281
constant,12_64_0.0,441,Adam,1.200771280338831e-06,0.004253422006049138
constant,12_64_0.0,461,Adam,1.116140692850055e-06,0.004108908974666839
constant,12_64_0.0,481,Adam,1.0392506070912102e-06,0.003979415830758019
constant,12_64_0.0,501,Adam,9.698790484864206e-07,0.0038610068718445923
constant,12_64_0.0,521,Adam,9.073022332251953e-07,0.0037496764182819156
constant,12_64_0.0,541,Adam,8.50644374535346e-07,0.003643506870572605
constant,12_64_0.0,561,Adam,7.99090390950479e-07,0.00354211977537167
constant,12_64_0.0,581,Adam,7.519383775910659e-07,0.003445405741035
constant,12_64_0.0,601,Adam,7.086076268044324e-07,0.003353076665128481
constant,12_64_0.0,621,Adam,6.686326294797905e-07,0.003264811856716633
constant,12_64_0.0,641,Adam,6.316477526017924e-07,0.0031804081831523323
constant,12_64_0.0,661,Adam,5.973673276041236e-07,0.003099788049625889
constant,12_64_0.0,681,Adam,5.655651387580564e-07,0.0030229467082733413
constant,12_64_0.0,701,Adam,5.360562068547117e-07,0.0029499033285519125
constant,12_64_0.0,721,Adam,5.086826704530143e-07,0.0028806703289320883
constant,12_64_0.0,741,Adam,4.83304345644788e-07,0.0028152402448557087
constant,12_64_0.0,761,Adam,4.5979338789653463e-07,0.002753586043838875
constant,12_64_0.0,781,Adam,4.380316896415334e-07,0.0026956670682525283
constant,12_64_0.0,801,Adam,4.1790943014331756e-07,0.0026414313642416417
constant,12_64_0.0,821,Adam,3.993235894549923e-07,0.002590808752063617
constant,12_64_0.0,841,Adam,3.821760526632527e-07,0.0025436962909935606
constant,12_64_0.0,861,Adam,3.663717079693633e-07,0.0024999443504021396
constant,12_64_0.0,881,Adam,3.5181720996544055e-07,0.002459352463967106
constant,12_64_0.0,901,Adam,3.384207638766972e-07,0.0024216786336370725
constant,12_64_0.0,921,Adam,3.2609277239613044e-07,0.002386658276404809
constant,12_64_0.0,941,Adam,3.147468948190367e-07,0.0023540251484624984
constant,12_64_0.0,961,Adam,3.043010949590258e-07,0.002323527891489971
constant,12_64_0.0,981,Adam,2.946784389247184e-07,0.002294939729902936
constant,12_64_0.0,1001,Adam,2.858075766518927e-07,0.0022680621102516905
constant,12_64_0.0,1021,Adam,2.776229384615353e-07,0.0022427244168217748
constant,12_64_0.0,1041,Adam,2.7006471151065246e-07,0.0022187817573690693
constant,12_64_0.0,1061,Adam,2.6307866090527023e-07,0.00219611211012247
constant,12_64_0.0,1081,Adam,2.5661584819723554e-07,0.0021746134678197965
constant,12_64_0.0,1101,Adam,2.5063228650620954e-07,0.002154201203282632
constant,12_64_0.0,1121,Adam,2.450885602545716e-07,0.0021348056847989606
constant,12_64_0.0,1141,Adam,2.399494291211467e-07,0.0021163701025584797
constant,12_64_0.0,1161,Adam,2.351834299437242e-07,0.002098848461136035
constant,12_64_0.0,1181,Adam,2.3076248633793195e-07,0.00208220370870896
constant,12_64_0.0,1201,Adam,2.2666153317450514e-07,0.002066405993176207
constant,12_64_0.0,1221,Adam,2.2285816127098622e-07,0.0020514310511920196
constant,12_64_0.0,1241,Adam,2.193322863144655e-07,0.0020372587457016082
constant,12_64_0.0,1261,Adam,2.1606584486864437e-07,0.0020238717704238684
constant,12_64_0.0,1281,Adam,2.130425191882421e-07,0.002011254536673387
constant,12_64_0.0,1301,Adam,2.1024749143579853e-07,0.0019993922505891198
constant,12_64_0.0,1321,Adam,2.0766722681695343e-07,0.001988270179329148
constant,12_64_0.0,1341,Adam,2.0528928420094015e-07,0.0019778730951924457
constant,12_64_0.0,1361,Adam,2.0310215204863482e-07,0.0019681848786267863
constant,12_64_0.0,1381,Adam,2.0109510697548878e-07,0.001959188255708146
constant,12_64_0.0,1401,Adam,1.9925809203618772e-07,0.0019508646432551437
constant,12_64_0.0,1421,Adam,1.975816118028465e-07,0.0019431940750079357
constant,12_64_0.0,1441,Adam,1.960566414685745e-07,0.001936155184627713
constant,12_64_0.0,1461,Adam,1.9467454748546207e-07,0.0019297252248899463
constant,12_64_0.0,1481,Adam,1.934270175864711e-07,0.001923880106629857
constant,12_64_0.0,1501,Adam,1.9230599840081329e-07,0.001918594445176528
constant,12_64_0.0,1521,Adam,1.913036392214896e-07,0.001913841605798813
constant,12_64_0.0,1541,Adam,1.9041224080314218e-07,0.0019095937428751965
constant,12_64_0.0,1561,Adam,1.8962420834948054e-07,0.001905821830022552
constant,12_64_0.0,1581,Adam,1.8893200809042486e-07,0.0019024956803030805
constant,12_64_0.0,1601,Adam,1.8832812705219102e-07,0.0018995839569509074
constant,12_64_0.0,1621,Adam,1.8780503579347476e-07,0.001897054175918425
constant,12_64_0.0,1641,Adam,1.873551540230035e-07,0.00189487270203403
constant,12_64_0.0,1661,Adam,1.8697081913317554e-07,0.0018930047407739467
constant,12_64_0.0,1681,Adam,1.8664425778568682e-07,0.001891414327659731
constant,12_64_0.0,1701,Adam,1.863675607714255e-07,0.0018900643171839444
constant,12_64_0.0,1721,Adam,1.8613266144089074e-07,0.0018889163730568795
constant,12_64_0.0,1741,Adam,1.859313180644673e-07,0.0018879309616489839
constant,12_64_0.0,1761,Adam,1.8575510053457271e-07,0.0018870673510551408
constant,12_64_0.0,1781,Adam,1.8559538186381687e-07,0.0018862836195112282
constant,12_64_0.0,1800,Adam,1.8545089363735578e-07,0.0018855738302054423
constant,12_64_0.0,1810,LBFGS,1.8545089363735578e-07,0.0018855738302054423
