train_family,test_family,seed,case,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,constant,7,constant_test_0000,0.0008203049461595147,0.0008204705662889208,0.0009517997563639522,1.241319369461088e-16,0.31788435292237144,0.0
constant,constant,7,constant_test_0001,0.00022658397070241594,0.0003397055718832117,0.000639142297361166,1.4704143612803918e-16,0.2615396008896336,0.0
constant,constant,7,constant_test_0002,0.0006254108536223342,0.0012097248782543518,0.001529237160804589,1.4739612668577206e-16,0.21891357445277268,0.0
constant,constant,7,constant_test_0003,0.0011378391449175412,0.0013195173601695637,0.0012909260856252397,1.479152853026818e-16,0.3062765810903992,0.0
constant,constant,7,constant_test_0004,0.0012106057006471146,0.0012502530002998149,0.001225385075591651,1.1314389127211674e-16,0.3109062278912462,0.0
constant,constant,7,constant_test_0005,0.0006819456009858266,0.0012273066110254458,0.0015749176520620588,1.2134126120545227e-16,0.28974301362792226,0.0
constant,constant,17,constant_test_0000,0.0010255825385923167,0.001054354463701299,0.00121096703612907,1.2074126647808068e-16,0.31789867939401917,0.0
constant,constant,17,constant_test_0001,0.0003669563397760396,0.0006505658833406465,0.0008474488607529691,1.452706600695732e-16,0.2613920878477467,0.0
constant,constant,17,constant_test_0002,0.0006613896319761338,0.0010210550632012132,0.0012293927833188997,1.3801442725501514e-16,0.2191568785217088,0.0
constant,constant,17,constant_test_0003,0.0014714999897617114,0.0015804327235671536,0.0015582821502874169,1.5396809754434898e-16,0.3064041097147082,0.0
constant,constant,17,constant_test_0004,0.0015585353333774133,0.001563837833453154,0.0015765155880114316,1.1731524071034592e-16,0.3109976215359058,0.0
constant,constant,17,constant_test_0005,0.0006235459152513159,0.0012112404191581088,0.0015370061527527263,1.1381021905384166e-16,0.28988522071282835,0.0
constant,constant,27,constant_test_0000,0.0009506716583479592,0.0009787703926779079,0.0011885781111047706,1.4348726924415092e-16,0.3179099804914153,0.0
constant,constant,27,constant_test_0001,0.0001953605984604777,0.00029052514265434323,0.0005042181124046949,1.4942924750186184e-16,0.26146536006230026,0.0
constant,constant,27,constant_test_0002,0.0006199192848502828,0.001123232744910462,0.0013346171266419053,1.4444846886049433e-16,0.2190317619773691,0.0
constant,constant,27,constant_test_0003,0.0012231108253755298,0.0013326433527133983,0.001345643026942521,1.2996769920232677e-16,0.30639045938461146,0.0
constant,constant,27,constant_test_0004,0.0013549334286573167,0.0013397666228902988,0.0014049134623214101,1.6517127777609951e-16,0.31100002862164355,0.0
constant,constant,27,constant_test_0005,0.0006416788401495658,0.0012331775842910724,0.0015459259996066885,1.3847414733753703e-16,0.2898557331612332,0.0
constant,constant,ensemble,constant_test_0000,0.0009312926404350974,0.0009482425141134443,0.0011136842663632637,1.275583508955448e-16,0.3178976698693229,0.0
