family,rank,width,omega_weight,seed,validation,chosen_step,seconds
constant,12,64,0.0,7,0.0018855738302054423,1800,2.4115109929989558
constant,24,64,0.02,7,0.001998201871648303,1800,1.9898486089950893
constant,24,96,0.02,7,0.0014038796394294315,1800,2.24589387299784
constant,24,96,0.02,17,0.00153325702240442,1800,1.7573090369987767
constant,24,96,0.02,27,0.001458925411933857,1800,2.3268881830008468
diverse,12,64,0.0,7,0.021583813959183032,1800,1.8902504430006957
diverse,24,64,0.02,7,0.021058815223830483,1800,1.5544560760026798
diverse,24,96,0.02,7,0.01838605553888213,1800,2.134811923999223
diverse,24,96,0.02,17,0.019527367428118232,1800,2.3746792649981217
diverse,24,96,0.02,27,0.02120543742038628,1800,2.341874336001638
