family,candidate,step,phase,train,validation_velocity_rel_l2
constant,12_64_0.0,1,Adam,0.000279958010723454,0.15851414053553403
constant,12_64_0.0,21,Adam,1.2958822798811769e-05,0.05399174791404916
constant,12_64_0.0,41,Adam,1.1667352603996685e-05,0.0494884228750577
constant,12_64_0.0,61,Adam,1.0593855131234467e-05,0.05001571074467276
constant,12_64_0.0,81,Adam,1.0208204136512918e-05,0.04807888594440874
constant,12_64_0.0,101,Adam,1.0028940292241506e-05,0.04803381360333492
constant,12_64_0.0,121,Adam,9.897151190130782e-06,0.047625015544887093
constant,12_64_0.0,141,Adam,9.748376466612479e-06,0.047275448116999
constant,12_64_0.0,161,Adam,9.57662284996855e-06,0.04693934176990442
constant,12_64_0.0,181,Adam,9.369704080662084e-06,0.0465227073267155
constant,12_64_0.0,201,Adam,9.106077674364149e-06,0.04597559614476485
constant,12_64_0.0,221,Adam,8.755031775390987e-06,0.04519680064619738
constant,12_64_0.0,241,Adam,8.286740024453029e-06,0.044088153803972616
constant,12_64_0.0,261,Adam,7.679262165688752e-06,0.04261150801621373
constant,12_64_0.0,281,Adam,6.925369424864387e-06,0.04072882182786755
constant,12_64_0.0,301,Adam,6.043659889278941e-06,0.03841819480301693
constant,12_64_0.0,321,Adam,5.078298577857803e-06,0.03569939347472186
constant,12_64_0.0,341,Adam,4.089147850018775e-06,0.032648935805134324
constant,12_64_0.0,361,Adam,3.1447710744286197e-06,0.029396348262296663
constant,12_64_0.0,381,Adam,2.31518706502194e-06,0.02613247748961689
constant,12_64_0.0,401,Adam,1.6542322398036383e-06,0.02309861165863884
constant,12_64_0.0,421,Adam,1.180196899524028e-06,0.02053471239479612
constant,12_64_0.0,441,Adam,8.725805334846717e-07,0.018602806589936835
constant,12_64_0.0,461,Adam,6.877211836380826e-07,0.017313866620223262
constant,12_64_0.0,481,Adam,5.799609065784518e-07,0.01651949046967419
constant,12_64_0.0,501,Adam,5.148947849634553e-07,0.016017100313171908
constant,12_64_0.0,521,Adam,4.717764499446941e-07,0.015658130180533893
constant,12_64_0.0,541,Adam,4.3997170080449677e-07,0.015366201964576626
constant,12_64_0.0,561,Adam,4.145868247744346e-07,0.015110715216991994
constant,12_64_0.0,581,Adam,3.934304218287586e-07,0.014881878602380418
constant,12_64_0.0,601,Adam,3.7541650386172556e-07,0.014676286544097156
constant,12_64_0.0,621,Adam,3.598912363115506e-07,0.014490958231739449
constant,12_64_0.0,641,Adam,3.463943788720346e-07,0.014322456271520258
constant,12_64_0.0,661,Adam,3.345739383242754e-07,0.01416770547164771
constant,12_64_0.0,681,Adam,3.2414837493773846e-07,0.01402447340468404
constant,12_64_0.0,701,Adam,3.148866979016994e-07,0.013891238550396874
constant,12_64_0.0,721,Adam,3.0659669359198553e-07,0.013766900715993437
constant,12_64_0.0,741,Adam,2.9911719767107206e-07,0.013650600114447593
constant,12_64_0.0,761,Adam,2.9231266395253543e-07,0.013541634724768749
constant,12_64_0.0,781,Adam,2.8606922963083597e-07,0.01343941298557588
constant,12_64_0.0,801,Adam,2.8029183183917645e-07,0.013343420226432534
constant,12_64_0.0,821,Adam,2.749020588923574e-07,0.013253197292043542
constant,12_64_0.0,841,Adam,2.6983646397954847e-07,0.01316832862931932
constant,12_64_0.0,861,Adam,2.650450915223061e-07,0.013088435896211255
constant,12_64_0.0,881,Adam,2.604900035014839e-07,0.013013174504641943
constant,12_64_0.0,901,Adam,2.5614366348261207e-07,0.012942231516437194
constant,12_64_0.0,921,Adam,2.5198713615442544e-07,0.01287532375905389
constant,12_64_0.0,941,Adam,2.48008165107739e-07,0.01281219550559347
constant,12_64_0.0,961,Adam,2.441992676676492e-07,0.012752615591660226
constant,12_64_0.0,981,Adam,2.405560088832893e-07,0.012696374233228384
constant,12_64_0.0,1001,Adam,2.3707558593543526e-07,0.012643279968096234
constant,12_64_0.0,1021,Adam,2.3375578937003663e-07,0.012593157079953319
constant,12_64_0.0,1041,Adam,2.3059433734982168e-07,0.012545843668717634
constant,12_64_0.0,1061,Adam,2.2758852620694994e-07,0.01250119032232609
constant,12_64_0.0,1081,Adam,2.247351143796747e-07,0.01245905921030816
constant,12_64_0.0,1101,Adam,2.220303547888704e-07,0.012419323383761515
constant,12_64_0.0,1121,Adam,2.194701041988435e-07,0.01238186610614752
constant,12_64_0.0,1141,Adam,2.1704995792162633e-07,0.012346580112488587
constant,12_64_0.0,1161,Adam,2.147653777143552e-07,0.012313366765509797
constant,12_64_0.0,1181,Adam,2.1261179641687486e-07,0.012282135127176023
constant,12_64_0.0,1201,Adam,2.1058469379700027e-07,0.012252800989174324
constant,12_64_0.0,1221,Adam,2.0867964467016248e-07,0.012225285911104873
constant,12_64_0.0,1241,Adam,2.0689234367728045e-07,0.012199516308147277
constant,12_64_0.0,1261,Adam,2.0521861223452333e-07,0.012175422617617249
constant,12_64_0.0,1281,Adam,2.036543930166623e-07,0.012152938560822614
constant,12_64_0.0,1301,Adam,2.0219573655141412e-07,0.012132000505528342
constant,12_64_0.0,1321,Adam,2.008387835015483e-07,0.012112546926119181
constant,12_64_0.0,1341,Adam,1.9957974523183632e-07,0.012094517953220044
constant,12_64_0.0,1361,Adam,1.9841488441434435e-07,0.01207785500164107
constant,12_64_0.0,1381,Adam,1.9734049675766885e-07,0.012062500464449698
constant,12_64_0.0,1401,Adam,1.9635289445075054e-07,0.012048397461153354
constant,12_64_0.0,1421,Adam,1.9544839156691768e-07,0.012035489628920214
constant,12_64_0.0,1441,Adam,1.9462329144883297e-07,0.012023720947110465
constant,12_64_0.0,1461,Adam,1.9387387596039897e-07,0.012013035586882489
constant,12_64_0.0,1481,Adam,1.9319639642156617e-07,0.012003377779119008
constant,12_64_0.0,1501,Adam,1.9258706601554314e-07,0.011994691695292188
constant,12_64_0.0,1521,Adam,1.92042053459302e-07,0.011986921337110936
constant,12_64_0.0,1541,Adam,1.9155747774605498e-07,0.011980010431858652
constant,12_64_0.0,1561,Adam,1.9112940379465788e-07,0.011973902331245127
constant,12_64_0.0,1581,Adam,1.9075383887056602e-07,0.01196853991238896
constant,12_64_0.0,1601,Adam,1.9042672967288915e-07,0.0119638654802521
constant,12_64_0.0,1621,Adam,1.901439600105822e-07,0.011959820671501996
constant,12_64_0.0,1641,Adam,1.89901349017124e-07,0.011956346360422799
constant,12_64_0.0,1661,Adam,1.8969464987700667e-07,0.011953382568167071
constant,12_64_0.0,1681,Adam,1.8951954905921218e-07,0.011950868377364749
constant,12_64_0.0,1701,Adam,1.8937166607288736e-07,0.011948741854891557
constant,12_64_0.0,1721,Adam,1.892465537790517e-07,0.01194693998643014
constant,12_64_0.0,1741,Adam,1.89139699309636e-07,0.011945398627278642
constant,12_64_0.0,1761,Adam,1.8904652566161347e-07,0.011944052474562487
constant,12_64_0.0,1781,Adam,1.8896239404934297e-07,0.011942835066404431
constant,12_64_0.0,1800,Adam,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1810,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1820,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1830,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1840,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1850,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1860,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1870,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1880,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1890,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1900,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1910,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1920,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1930,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1940,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1950,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1960,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1970,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1980,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,1990,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,2000,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,2010,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,2020,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,2030,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,2040,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,12_64_0.0,2050,LBFGS,1.8888656641950546e-07,0.011941736229315665
constant,24_64_0.02,1,Adam,0.00030636120722069975,0.15851091926801647
constant,24_64_0.02,21,Adam,1.3753917966984958e-05,0.054006010041612214
constant,24_64_0.02,41,Adam,1.2384194976624261e-05,0.04943078868660481
constant,24_64_0.02,61,Adam,1.1239118005056598e-05,0.0500160447688785
constant,24_64_0.02,81,Adam,1.0834052838694683e-05,0.048088804683777825
constant,24_64_0.02,101,Adam,1.0649141940598678e-05,0.04806720051180402
constant,24_64_0.02,121,Adam,1.0517276188462797e-05,0.047654926796778935
constant,24_64_0.02,141,Adam,1.0367606046277986e-05,0.047303309498242886
constant,24_64_0.02,161,Adam,1.019298053090587e-05,0.04696718527355281
constant,24_64_0.02,181,Adam,9.980380452417967e-06,0.046552352426638965
constant,24_64_0.02,201,Adam,9.707325323620956e-06,0.04600712005538979
constant,24_64_0.02,221,Adam,9.342103019074804e-06,0.04523250178139412
constant,24_64_0.02,241,Adam,8.853315743861798e-06,0.04413204920142831
constant,24_64_0.02,261,Adam,8.216607361091387e-06,0.04266348331995193
constant,24_64_0.02,281,Adam,7.421702737947812e-06,0.04078496181929568
constant,24_64_0.02,301,Adam,6.4850377239376455e-06,0.03847097887055884
constant,24_64_0.02,321,Adam,5.452318307882094e-06,0.03574144339624175
constant,24_64_0.02,341,Adam,4.389305951458031e-06,0.032676081045021246
constant,24_64_0.02,361,Adam,3.372162034258767e-06,0.029408409874851243
constant,24_64_0.02,381,Adam,2.4774685554044074e-06,0.02612866835849701
constant,24_64_0.02,401,Adam,1.7636025221698966e-06,0.023075143108267648
constant,24_64_0.02,421,Adam,1.2509579766546313e-06,0.020487730693561593
constant,24_64_0.02,441,Adam,9.184176519550804e-07,0.018534175049506517
constant,24_64_0.02,461,Adam,7.195107395720585e-07,0.017233713449538945
constant,24_64_0.02,481,Adam,6.049139724281088e-07,0.016440222309745546
constant,24_64_0.02,501,Adam,5.370021876446659e-07,0.015946174478261313
constant,24_64_0.02,521,Adam,4.928602621306177e-07,0.015597761472141092
constant,24_64_0.02,541,Adam,4.606778688592356e-07,0.015315854672276776
constant,24_64_0.02,561,Adam,4.3504579876974423e-07,0.015068824810836004
constant,24_64_0.02,581,Adam,4.136047480187209e-07,0.014846798534883247
constant,24_64_0.02,601,Adam,3.952450338998839e-07,0.01464674670073746
constant,24_64_0.02,621,Adam,3.793312454324024e-07,0.014466096774693798
constant,24_64_0.02,641,Adam,3.6542676069128604e-07,0.01430163065327576
constant,24_64_0.02,661,Adam,3.531997140309476e-07,0.01415033769245981
constant,24_64_0.02,681,Adam,3.423842020947751e-07,0.014010007594664193
constant,24_64_0.02,701,Adam,3.3276090696102005e-07,0.013879154426982735
constant,24_64_0.02,721,Adam,3.2414607771157767e-07,0.01375673020073735
constant,24_64_0.02,741,Adam,3.1638442559491813e-07,0.013641935352744812
constant,24_64_0.02,761,Adam,3.0934409916250357e-07,0.013534130706683575
constant,24_64_0.02,781,Adam,3.02912958006529e-07,0.013432786676983378
constant,24_64_0.02,801,Adam,2.969957586456788e-07,0.01333744677791067
constant,24_64_0.02,821,Adam,2.915120161997404e-07,0.013247704036109115
constant,24_64_0.02,841,Adam,2.863943633446308e-07,0.01316318749826857
constant,24_64_0.02,861,Adam,2.8158724701422665e-07,0.013083554766869086
constant,24_64_0.02,881,Adam,2.7704581063583333e-07,0.013008488118557216
constant,24_64_0.02,901,Adam,2.7273482413642753e-07,0.01293769283112258
constant,24_64_0.02,921,Adam,2.6862755654920374e-07,0.012870896625817266
constant,24_64_0.02,941,Adam,2.6470453795361397e-07,0.012807849359522266
constant,24_64_0.02,961,Adam,2.6095221927151913e-07,0.012748322413666963
constant,24_64_0.02,981,Adam,2.573615934703593e-07,0.012692107540944436
constant,24_64_0.02,1001,Adam,2.5392687369111095e-07,0.01263901519841866
constant,24_64_0.02,1021,Adam,2.50644324763452e-07,0.012588872575216528
constant,24_64_0.02,1041,Adam,2.4751131838551925e-07,0.012541521584999753
constant,24_64_0.02,1061,Adam,2.445256417533617e-07,0.012496817048249922
constant,24_64_0.02,1081,Adam,2.416850494997971e-07,0.012454625183668962
constant,24_64_0.02,1101,Adam,2.389870201010795e-07,0.012414822417426868
constant,24_64_0.02,1121,Adam,2.3642866427885503e-07,0.012377294442950541
constant,24_64_0.02,1141,Adam,2.340067325030562e-07,0.012341935435135969
constant,24_64_0.02,1161,Adam,2.317176767832128e-07,0.012308647332369436
constant,24_64_0.02,1181,Adam,2.2955773361655706e-07,0.012277339129286854
constant,24_64_0.02,1201,Adam,2.2752300661869633e-07,0.012247926155873789
constant,24_64_0.02,1221,Adam,2.2560953700721297e-07,0.012220329343975768
constant,24_64_0.02,1241,Adam,2.2381335707693187e-07,0.012194474497020052
constant,24_64_0.02,1261,Adam,2.2213052625075764e-07,0.01217029158377922
constant,24_64_0.02,1281,Adam,2.205571517348825e-07,0.012147714075351817
constant,24_64_0.02,1301,Adam,2.190893968512777e-07,0.012126678339384673
constant,24_64_0.02,1321,Adam,2.1772348028850926e-07,0.012107123099379245
constant,24_64_0.02,1341,Adam,2.164556692008183e-07,0.012088988961242433
constant,24_64_0.02,1361,Adam,2.1528226856429677e-07,0.012072218004791066
constant,24_64_0.02,1381,Adam,2.1419960863307243e-07,0.012056753434884951
constant,24_64_0.02,1401,Adam,2.1320403181758538e-07,0.012042539285122552
