family,rank,width,omega_weight,seed,validation,chosen_step,seconds
constant,12,64,0.0,7,0.011941736229315665,1800,1.8948009439991438
constant,24,64,0.02,7,0.011934471801563094,1800,1.3602101349970326
constant,24,96,0.02,7,0.00968480754033393,1800,1.5429776150049292
constant,24,96,0.02,17,0.011286143869258579,1800,1.325704285998654
constant,24,96,0.02,27,0.010286292324214597,1800,1.4055269570017117
diverse,12,64,0.0,7,0.09828530117222001,541,1.3439230750009301
diverse,24,64,0.02,7,0.09425543036604292,281,1.3700837649957975
diverse,24,96,0.02,7,0.09506594537216023,181,1.5167359139959444
diverse,24,64,0.02,17,0.08264685010678033,241,1.5827962670009583
diverse,24,64,0.02,27,0.0886300704647884,241,1.7989939470062382
