family,case,Re,primary_ref_y,primary_ref_x,primary_pred_y,primary_pred_x,lower_right_ref_y,lower_right_ref_x,lower_right_pred_y,lower_right_pred_x,lower_right_ref_psi,lower_right_pred_psi,interior_vorticity_rel_l2
constant,constant_test_0000,378.399636822,16,14,16,14,4,21,4,21,0.000659481800725,0.000659581538687,0.00111368426636
constant,constant_test_0001,275.517574352,16,15,16,15,3,21,3,21,0.000347255160253,0.000347759318295,0.000610415814878
constant,constant_test_0002,205.774491245,17,15,17,15,3,22,3,22,0.000164823302677,0.000164639922898,0.00130733028133
constant,constant_test_0003,356.313077878,16,14,16,14,4,21,4,21,0.000594002796868,0.000593736406475,0.00138396446076
constant,constant_test_0004,364.964135792,16,14,16,14,4,21,4,21,0.00062034189608,0.000620256300999,0.00139406877676
constant,constant_test_0005,326.112880151,16,15,16,15,4,21,4,21,0.00049480202931,0.000494290877779,0.00153634202077
diverse,diverse_test_0000,378.399636822,16,15,16,15,3,21,3,21,0.000350011860343,0.000346187036954,0.0104216972713
diverse,diverse_test_0001,275.517574352,17,15,17,15,3,22,3,22,0.000184758543849,0.000185530274204,0.00525366198567
diverse,diverse_test_0002,205.774491245,17,15,17,15,3,22,3,22,0.000114554076192,0.00011354798132,0.00702835459455
diverse,diverse_test_0003,356.313077878,16,15,16,15,4,21,4,21,0.000483277185152,0.000450873002384,0.0323646007729
diverse,diverse_test_0004,364.964135792,17,15,17,15,3,21,3,21,0.000187954927786,0.000205814114598,0.0239995132212
diverse,diverse_test_0005,326.112880151,17,15,17,15,3,21,3,21,0.000263495555751,0.000251245076158,0.0103273718881
