protocol,case,geometry,Re,model,seed,checkpoint_epoch,velocity_percent,pressure_percent,reverse_iou,reverse_area_bias_percent
diverse_geometry_v1,g009_Re100_medium,g009,100,ordinary_DeepONet,17,380,46.69388961791992,92.25154113769531,0.49619771863117873,-5.682479627473808
diverse_geometry_v1,g009_Re25_medium,g009,25,ordinary_DeepONet,17,380,41.37021255493164,86.92070770263672,0.8266129032258065,-0.2401047729918511
diverse_geometry_v1,g009_Re50_medium,g009,50,ordinary_DeepONet,17,380,43.65974807739258,83.91194152832031,0.5418894830659536,-2.924912689173457
diverse_geometry_v1,g023_Re100_medium,g023,100,ordinary_DeepONet,17,380,35.23331069946289,271.630859375,0.19508351717617398,-17.17171717171717
diverse_geometry_v1,g023_Re25_medium,g023,25,ordinary_DeepONet,17,380,24.26924705505371,273.5328369140625,0.23450905624404195,-4.909090909090909
diverse_geometry_v1,g023_Re50_medium,g023,50,ordinary_DeepONet,17,380,28.834688186645508,282.0182800292969,0.2627257799671593,-8.828282828282827
diverse_geometry_v1,g036_Re100_medium,g036,100,ordinary_DeepONet,17,380,30.4958438873291,326.3170166015625,0.19791278419679464,-14.51602023608769
diverse_geometry_v1,g036_Re25_medium,g036,25,ordinary_DeepONet,17,380,18.018320083618164,333.0287780761719,0.29724770642201837,-2.1247892074198993
diverse_geometry_v1,g036_Re50_medium,g036,50,ordinary_DeepONet,17,380,22.88935089111328,370.8762512207031,0.30114942528735633,-5.9629005059021924
diverse_geometry_v1,g048_Re100_medium,g048,100,ordinary_DeepONet,17,380,18.8542537689209,362.1842346191406,0.4080808080808081,-3.44559585492228
diverse_geometry_v1,g048_Re25_medium,g048,25,ordinary_DeepONet,17,380,19.62210464477539,471.9908447265625,0.38283828382838286,-0.7577720207253887
diverse_geometry_v1,g048_Re50_medium,g048,50,ordinary_DeepONet,17,380,15.701272010803223,686.6117553710938,0.6509240246406571,-0.893782383419689
